id,date,course_id,task,planned_hours,actual_hours,done,notes
,25/02/2026,ASDfR,,,1.35,,
,26/02/2026,ASDfR,Assignment,,3.8,,
,27/02/2026,ASDfR,assignment,,1.75,,
,28/02/2026,ASDfR,Assignment 1 !,,,,
,02/03/2026,Biomechanics,Assignment,,0.25,,
,03/03/2026,Biomechanics,Assignment,,3.7,,
,04/03/2026,Biomechanics,Test,,4.05,,
,05/03/2026,Biomechanics,"Wrap up, lecture",,4.3,,
,03/03/2026,DPPM1,Work away,,3.65,,
,04/03/2026,DPPM1,Lec 9,,0.7,,
,06/03/2026,DPPM1,exam 2017,,3,,
,08/03/2026,DPPM1,exam 2018,,3,,
,04/03/2026,ASDfR,2.1 and 2.2,,1.55,,
,05/03/2026,ASDfR,Work on ass2,,2,,
,03/03/2026,PPD,,,0.1,,
,05/03/2026,PPD,Meeting,,0.75,,
,09/03/2026,Biomechanics,"Test, ASS 2",,0.15,,
,10/03/2026,Biomechanics,ASS 2,,0.6,,
,11/03/2026,Biomechanics,ASS 2a,,1.7,,
,12/03/2026,Biomechanics,"ASS 2, 2c",,2.65,,
,14/03/2026,Biomechanics,Test 8,,0.1,,
,10/03/2026,DPPM1,exam 2018_2,,2.2,,
,11/03/2026,DPPM1,"exam 18, 21",,4.15,,
,12/03/2026,DPPM1,"exam 2021, 11",,0.4,,
,13/03/2026,DPPM1,"exam 2023, 24",,2.75,,
,14/03/2026,DPPM1,exam 2025,,3,,
,15/03/2026,DPPM1,practice,,2.65,,
,10/03/2026,ASDfR,ass2,,2,,
,11/03/2026,ASDfR,2.2,,3,,
,12/03/2026,ASDfR,2.2,,2.2,,
,18/03/2026,Biomechanics,Test 9,,0.25,,
,20/03/2026,Biomechanics,ASS 2 Deadline,,0.25,,
,21/03/2026,Biomechanics,Test 10,,0.35,,
,16/03/2026,DPPM1,Practice,,4.55,,
,17/03/2026,DPPM1,Project & exam,,3.75,,
,19/03/2026,DPPM1,Excursion,,2,,
,20/03/2026,DPPM1,Project work,,1.05,,
,21/03/2026,DPPM1,sketches,,2.4,,
,17/03/2026,ASDfR,2.4,,2,,
,18/03/2026,ASDfR,2.4,,4.45,,
,19/03/2026,ASDfR,ASS 3,,5.1,,
,20/03/2026,ASDfR,ASS 2 Deadline,,10.25,,
,22/03/2026,ASDfR,ASS 3 prep,,3.55,,
,20/03/2026,PPD,,,0.2,,
,22/03/2026,PPD,research,,,,
,23/03/2026,Biomechanics,Meeting,,1,,
,24/03/2026,Biomechanics,ASS3,,,,
,25/03/2026,Biomechanics,ASS3,,6.65,,
,26/03/2026,Biomechanics,Exam training,,1,,
,24/03/2026,DPPM1,Meeting,,1.35,,
,25/03/2026,DPPM1,assignment,,,,
,26/03/2026,DPPM1,Meeting,,2,,
,27/03/2026,DPPM1,calculations,,3.2,,
,29/03/2026,DPPM1,calculations,,1.85,,
,24/03/2026,ASDfR,RELbot,,6.15,,
,25/03/2026,ASDfR,3.2,,2.25,,
,27/03/2026,ASDfR,"3.2, 3.3",,,,
,23/03/2026,PPD,Meeting,,0.75,,
,27/03/2026,PPD,Meeting,,3,,
,29/03/2026,PPD,diagram sketch,,,,
,02/04/2026,Biomechanics,ASS 3 Deadline,,,,
,30/03/2026,DPPM1,assignment,,4.15,,
,31/03/2026,DPPM1,Assignment,,4,,
,01/04/2026,DPPM1,project,,3.75,,
,02/04/2026,DPPM1,Draft Report,,2,,
,04/04/2026,DPPM1,assignment,,,,
,31/03/2026,ASDfR,RELbot,,4.75,,
,02/04/2026,ASDfR,ASS 3,,0.7,,
,07/04/2026,Biomechanics,exam prep,,,,
,09/04/2026,Biomechanics,exam prep,,,,
,11/04/2026,Biomechanics,exam prep,,0.45,,
,12/04/2026,Biomechanics,exam prep 3,,4.65,,
,07/04/2026,DPPM1,"Peer Review, ass",,7.85,,
,08/04/2026,DPPM1,assignment,,1.35,,
,09/04/2026,DPPM1,Deadline 17:00,,3.15,,
,11/04/2026,DPPM1,Presentation,,1,,
,12/04/2026,DPPM1,Presentation,,0.7,,
,08/04/2026,ASDfR,RELbot,,4.75,,
,11/04/2026,ASDfR,ASS 3,,6.1,,
,07/04/2026,PPD,"Meeting, diagram",,0.75,,
,08/04/2026,PPD,Diagram,,1.6,,
,10/04/2026,PPD,diagram,,1.45,,
,15/04/2026,Biomechanics,Exam prep,,5.6,,
,16/04/2026,Biomechanics,Exam,,2,,
,13/04/2026,DPPM1,Presentation,,1.55,,
,14/04/2026,ASDfR,RELbot,,8.6,,
,15/04/2026,ASDfR,Assignment 3,,2.25,,
,17/04/2026,ASDfR,Assignment 3,,0.25,,
,17/04/2026,PPD,finish personal,,2,,
,20/04/2026,Modelling and Simulation,Assignment,,2.65,,
,22/04/2026,Modelling and Simulation,Tutorial,,1.75,,
,23/04/2026,Modelling and Simulation,do math,,4.65,,
,24/04/2026,Modelling and Simulation,Meeting,,2.85,,
,26/04/2026,Modelling and Simulation,Assignment 2,,1.95,,
,20/04/2026,Biomechatronics,Quiz,,0.6,,
,22/04/2026,Biomechatronics,"Lecture, reading",,2.45,,
,26/04/2026,Biomechatronics,ASS 1,,2.95,,
,20/04/2026,Sys. Ident.,Lecture,,0.3,,
,22/04/2026,Sys. Ident.,Lecture,,1,,
,26/04/2026,Sys. Ident.,Exercise 1,,0.55,,
,23/04/2026,AI for Aut. Robots,catch up,,0.5,,
,26/04/2026,AI for Aut. Robots,Ass. 1.3,,0.9,,
,24/04/2026,PPD,"Meeting, learning goals",,2.5,,
,28/04/2026,Modelling and Simulation,Presentation,,1.75,,
,29/04/2026,Modelling and Simulation,Tutorial,,1.75,,
,30/04/2026,Modelling and Simulation,Working session,,2.25,,
,01/05/2026,Modelling and Simulation,M&S2,,1.65,,
,27/04/2026,Biomechatronics,"Quiz 3, assignment",,2.05,,
,29/04/2026,Biomechatronics,"ASS 1, finish 2",,3.95,,
,01/05/2026,Biomechatronics,"Quiz 4, assignment",,5.3,,
,27/04/2026,AI for Aut. Robots,Ass. 1.1,,1.7,,
,28/04/2026,AI for Aut. Robots,"Prep (1.1), lec, dual boot",,6.15,,
,29/04/2026,AI for Aut. Robots,Lab Session,,1.75,,
,30/04/2026,AI for Aut. Robots,Lab Session,,,,
,01/05/2026,AI for Aut. Robots,Ubuntu,,0.45,,
,28/04/2026,PPD,learning goals,,0.8,,
,29/04/2026,PPD,CBL research farming,,,,
,30/04/2026,PPD,Meeting,,1,,
,01/05/2026,PPD,Challenge Definition,,,,
,03/05/2026,PPD,PPD,,0.25,,
,06/05/2026,Modelling and Simulation,Tutorial,,1.75,,
,07/05/2026,Modelling and Simulation,Work session,,3.5,,
,10/05/2026,Modelling and Simulation,Finish,,4.95,,
,06/05/2026,Biomechatronics,"Work session, finish assignment",,1.25,,
,08/05/2026,Biomechatronics,finish ass1,,0.35,,
,04/05/2026,Sys. Ident.,Look at course,,,,
,04/05/2026,AI for Aut. Robots,"prep, py code",,,,
,06/05/2026,AI for Aut. Robots,Lab session,,2.5,,
,07/05/2026,AI for Aut. Robots,Fix Ubuntu,,1.45,,
,08/05/2026,AI for Aut. Robots,Lab session,,1.75,,
,09/05/2026,PPD,Write PPD,,1,,
,11/05/2026,Modelling and Simulation,Presentation,,1.75,,
,12/05/2026,Modelling and Simulation,Assignment 4,,4.3,,
,16/05/2026,Modelling and Simulation,,,0.85,,
,11/05/2026,Biomechatronics,Assignment 2,,0.65,,
,13/05/2026,Biomechatronics,work ass2,,2.25,,
,14/05/2026,Biomechatronics,"work ass2, quiz 5",,1.85,,
,15/05/2026,Biomechatronics,work ass2,,3.25,,
,16/05/2026,Biomechatronics,work ass2,,1.25,,
,14/05/2026,Sys. Ident.,exercise 1,,2.45,,
,12/05/2026,AI for Aut. Robots,Assignment,,0.5,,
,13/05/2026,AI for Aut. Robots,Lab session,,1.75,,
,14/05/2026,AI for Aut. Robots,reinstall,,0.95,,
,15/05/2026,AI for Aut. Robots,read paper,,,,
,16/05/2026,AI for Aut. Robots,write script,,,,
,14/05/2026,PPD,work on portfolio,,0.15,,
,18/05/2026,Modelling and Simulation,Presentation,,1.75,,
,20/05/2026,Modelling and Simulation,lectorial,,1.75,,
,22/05/2026,Modelling and Simulation,work session,,,,
,23/05/2026,Modelling and Simulation,work session,,0.5,,
,24/05/2026,Modelling and Simulation,work session,,1.35,,
,18/05/2026,Biomechatronics,ass2,,3.15,,
,19/05/2026,Biomechatronics,"finish ass2, quiz",,4.9,,
,20/05/2026,Biomechatronics,quiz 6,,1.9,,
,21/05/2026,Biomechatronics,assignment 2,,,,
,22/05/2026,Biomechatronics,Assignment 2,,2.9,,
,24/05/2026,Biomechatronics,Quiz 7,,0.3,,
,24/05/2026,Sys. Ident.,stuff,,0.55,,
,19/05/2026,AI for Aut. Robots,lab session,,2.5,,
,21/05/2026,AI for Aut. Robots,Lab session,,1.75,,
,22/05/2026,AI for Aut. Robots,Lab session,,2.2,,
,23/05/2026,AI for Aut. Robots,Edit vid,,2.9,,
,20/05/2026,PPD,meeting,,0.3,,
,25/05/2026,Modelling and Simulation,Wrap up,,1.95,,
,26/05/2026,Modelling and Simulation,Presentation,,3.05,,
,27/05/2026,Modelling and Simulation,Tutorial,,3.6,,
,28/05/2026,Modelling and Simulation,work session,,3.75,,
,29/05/2026,Modelling and Simulation,,,0.25,,
,30/05/2026,Modelling and Simulation,,,5.45,,
,26/05/2026,Biomechatronics,Start ass3,,,,
,27/05/2026,Biomechatronics,ass3,,1.45,,
,26/05/2026,Sys. Ident.,exercise 2,,,,
,27/05/2026,Sys. Ident.,exercise 3,,,,
,26/05/2026,AI for Aut. Robots,Assignment 1,,3.3,,
,30/05/2026,AI for Aut. Robots,assignment 2,,,,
,26/05/2026,PPD,make concrete,,0.75,,
,01/06/2026,Modelling and Simulation,Presentation,,1.75,,
,03/06/2026,Modelling and Simulation,Tutorial,,1.75,,
,04/06/2026,Modelling and Simulation,work session,,6.35,,
,07/06/2026,Modelling and Simulation,work session,,6.95,,
,01/06/2026,Biomechatronics,"quiz 8, ass3",,4.5,,
,02/06/2026,Biomechatronics,"quiz 9, ass3",,7.35,,
,03/06/2026,Biomechatronics,ass3,,0.45,,
,05/06/2026,Biomechatronics,Assignment 3,,4.75,,
,06/06/2026,Sys. Ident.,exercises,,,,
,07/06/2026,Sys. Ident.,exercises,,,,
,05/06/2026,AI for Aut. Robots,ass2,,3,,
,03/06/2026,PPD,meeting,,1.5,,
,05/06/2026,PPD,"divide, personal goals",,1,,
,08/06/2026,Modelling and Simulation,prep,,3.15,,
,09/06/2026,Modelling and Simulation,presentation!,,1.75,,
,10/06/2026,Modelling and Simulation,Tutorial,,1.75,,
,11/06/2026,Modelling and Simulation,work session,,3.55,,
,14/06/2026,Modelling and Simulation,work on assignment,,3.35,,
,08/06/2026,Biomechatronics,prep,,2.65,,
,09/06/2026,Biomechatronics,ass4,,4.65,,
,10/06/2026,Biomechatronics,ass4,,0.65,,
,11/06/2026,Biomechatronics,ass 4,,3.3,,
,12/06/2026,Biomechatronics,finish ass4,,5.5,,
,09/06/2026,AI for Aut. Robots,lec 1,,1.8,,
,10/06/2026,AI for Aut. Robots,"ass2, lec 2",,1.75,,
,11/06/2026,AI for Aut. Robots,"lec 2, 3",,0.6,,
,14/06/2026,AI for Aut. Robots,finish ass2,,9,,
,08/06/2026,PPD,write ELSE,,0.75,,
,10/06/2026,PPD,write ELSE,,1.05,,
,11/06/2026,PPD,PPD questions,,1.25,,
,12/06/2026,PPD,PPD meeting,,1.9,,
,13/06/2026,PPD,CBL,,4.1,,
,15/06/2026,Modelling and Simulation,robot,,1,,
,16/06/2026,Modelling and Simulation,SEA,,2.1,,
,17/06/2026,Modelling and Simulation,Tutorial,,3.5,,
,18/06/2026,Modelling and Simulation,work session,,0.85,,
,19/06/2026,Modelling and Simulation,FINAL REPORT,,3.25,,
,20/06/2026,Modelling and Simulation,Finish,,3.1,,
,21/06/2026,Modelling and Simulation,FINAL REPORT,,2.25,,
,15/06/2026,Biomechatronics,finish ass4,,4.5,,
,16/06/2026,Biomechatronics,lec 2,,1.4,,
,17/06/2026,Biomechatronics,"lec 3, 4 and 5",,2.9,,
,19/06/2026,Biomechatronics,"lec 6, 7, 8 and 9",,2.9,,
,20/06/2026,Biomechatronics,exam prep,,1.3,,
,21/06/2026,Biomechatronics,practice questions,,2.45,,
,17/06/2026,Sys. Ident.,,,0.8,,
,18/06/2026,Sys. Ident.,Exam 2023,,2.7,,
,19/06/2026,Sys. Ident.,Exam 2023,,1.2,,
,21/06/2026,Sys. Ident.,Exam 2023,,,,
,15/06/2026,AI for Aut. Robots,lectures 2-4,,,,
,16/06/2026,AI for Aut. Robots,"finish, study",,1.3,,
,17/06/2026,AI for Aut. Robots,Assignment 2,,,,
,19/06/2026,AI for Aut. Robots,"lecture 2,3&4",,2.2,,
,20/06/2026,AI for Aut. Robots,CBL,,1.25,,
,21/06/2026,AI for Aut. Robots,assignment,,3.85,,
,16/06/2026,PPD,SiPeML CBL,,,,
,22/06/2026,Modelling and Simulation,"Presentation, peer review",,3.5,,
,26/06/2026,Modelling and Simulation,peer review,,0.35,,
,28/06/2026,Modelling and Simulation,prep,,4,,
,22/06/2026,Biomechatronics,exam prep,,,,
,23/06/2026,Biomechatronics,exam prep,,7.3,,
,24/06/2026,Biomechatronics,Exam,,4.1,,
,24/06/2026,Sys. Ident.,Exam 2023,,,,
,25/06/2026,Sys. Ident.,Practice exam,,,,
,26/06/2026,Sys. Ident.,Practice exam,,9.25,,
,27/06/2026,Sys. Ident.,Practice exam,,4.05,,
,28/06/2026,Sys. Ident.,Practice exam,,,,
,24/06/2026,AI for Aut. Robots,"lecture 5,6,7",,,,
,25/06/2026,AI for Aut. Robots,"lecture 8,9,10",,,,
,26/06/2026,AI for Aut. Robots,lecture 11,,,,
,28/06/2026,AI for Aut. Robots,exam prep,,6.4,,
,22/06/2026,PPD,SiPeML CBL,,3,,
,24/06/2026,PPD,SiPeML CBL,,3.15,,
,25/06/2026,PPD,SiPeML CBL,,5,,
,26/06/2026,PPD,SiPeML CBL,,,,
,30/06/2026,Modelling and Simulation,prep,,5,,
,01/07/2026,Modelling and Simulation,Oral Exam,,1.25,,
,01/07/2026,Sys. Ident.,Practice exam,,9,,
,02/07/2026,Sys. Ident.,Exam,,3,,
,29/06/2026,AI for Aut. Robots,exam prep,,6.05,,
,30/06/2026,AI for Aut. Robots,Exam,,2.95,,
,03/07/2026,AI for Aut. Robots,Assignment 3,,3,,
