course_id,course_2,content_id,type,topic,date,deadline,start,end,location,marker,hours_spent,material_hours,content,done,cal_id
Biomechatronics,,q&a,q&a,Q&A,12/05/2026,,,,,,,,,done,
Biomechatronics,,q&a,q&a,Q&A,18/05/2026,,,,,,,,,done,
Biomechatronics,,quiz,quiz,Quiz 6,,17/05/2026,,,,,,,,done,
Biomechatronics,,lecture 6,lecture,Lecture,19/05/2026,,,,,,,,,done,
Biomechatronics,,quiz,quiz,Quiz 7,,20/05/2026,,,,,,,,done,
Biomechatronics,,assignment,assignment,Assignment 2,,22/05/2026,,,,,,,,done,
Biomechatronics,,lecture 7,lecture,Lecture,22/05/2026,,,,,,,,,done,
Biomechatronics,,quiz,quiz,Quiz 8,,25/05/2026,,,,,,,,done,
Biomechatronics,,lecture 8,lecture,Lecture,26/05/2026,,,,,,,,,done,
Biomechatronics,,q&a,q&a,Q&A,29/05/2026,,,,,,,,,done,
Biomechatronics,,q&a,q&a,Q&A,02/06/2026,,,,,,,,,done,
Biomechatronics,,lecture,lecture,Lecture,02/06/2026,,,,,,,,,done,
Biomechatronics,,quiz,quiz,Quiz 9,,01/06/2026,,,,,,,,done,
Biomechatronics,,lecture 9,lecture,Lecture,03/06/2026,,,,,,,,,done,
Biomechatronics,,assignment,assignment,Assignment 3,,05/06/2026,,,,,,,,done,
Biomechatronics,,q&a,q&a,Q&A,09/06/2026,,,,,,,,,done,
Biomechatronics,,q&a,q&a,Q&A,16/06/2026,,,,,,,,,done,
Biomechatronics,,assignment,assignment,Assignment 4,,19/06/2026,,,important,,,,,,
Biomechatronics,,exam,exam,Exam,,24/06/2026,,,important,,,,,,
Biomechatronics,,resit,resit,Resit,23/07/2026,,,,important,,,,,,
Biomechanics,,lectorial 1,lectorial,Lectorial,04/02/2026,,,,,,1.55,,,done,
Biomechanics,,lectorial 2,lectorial,Lectorial,06/02/2026,,,,,,3.55,,,done,
Biomechanics,,practical,practical,Lab Meeting,10/02/2026,,,,,,0.5,,,done,
Biomechanics,,practical,practical,Lab,11/02/2026,,,,,,1.9,,,done,
Biomechanics,,lectorial 3,lectorial,Lectorial,12/02/2026,,,,,,1.65,,,done,
Biomechanics,,lectorial 4,lectorial,Lectorial,12/02/2026,,,,,,,,,done,
Biomechanics,,Ass1 Meeting,,Ass1 Meeting,19/02/2026,,,,,,0.45,,,done,
Biomechanics,,lectorial 5,lectorial,Lectorial,20/02/2026,,,,,,0.45,,,done,
Biomechanics,,lectorial 6,lectorial,Lectorial,05/03/2026,,,,,,0.35,,,done,
Biomechanics,,assignment !,assignment,Assignment 1,,05/03/2026,,,,,9.8,,,done,
Biomechanics,,lectorial 7,lectorial,Lectorial,10/03/2026,,,,,,0.75,,,done,
Biomechanics,,lectorial 8,lectorial,Lectorial,18/03/2026,,,,,,0.1,,,done,
Biomechanics,,assignment !,assignment,Assignment 2,,19/03/2026,,,,,5.2,,,done,
Biomechanics,,lectorial 9,lectorial,Lectorial,20/03/2026,,,,,,0.25,,,done,
Biomechanics,,exam !,exam,Exam Practice,,26/03/2026,,,,,10.7,,,done,
Biomechanics,,assignment !,assignment,Assignment 3,,02/04/2026,,,,,7.65,,,done,
Biomechanics,,exam !,exam,Exam,,16/04/2026,,,,,2,,,done,
PPD,,project 1,,project 1,,,,,,,18.45,,,,
PPD,,first meeting,,first meeting,06/02/2026,,,,,,1.5,,,done,
PPD,,second meeting,,second meeting,13/02/2026,,,,,,,,,done,
exam,,PPD:,,PPD:,,,,,,,,,,,
exam,,PPD personal,,PPD personal,,,,,,,,,,,
